Frequency Weight,Trend Weight,Recent Weight,Accuracy
0.6,0.1,0.3,80.0
0.7,0.1,0.2,80.0
0.7,0.2,0.1,80.0
0.6,0.2,0.2,80.0
0.5,0.2,0.3,78.0
0.5,0.1,0.4,78.0
0.6,0.3,0.1,78.0
0.4,0.2,0.4,74.0
0.2,0.1,0.7,74.0
0.4,0.1,0.5,74.0
0.3,0.1,0.6,74.0
0.5,0.3,0.2,74.0
0.3,0.2,0.5,72.0
0.4,0.3,0.3,70.0
0.3,0.3,0.4,68.0
0.2,0.3,0.5,68.0
0.2,0.2,0.6,68.0
0.5,0.4,0.1,68.0
0.1,0.2,0.7,66.0
0.1,0.3,0.6,64.0
0.3,0.4,0.3,64.0
0.4,0.4,0.2,64.0
0.3,0.5,0.2,62.0
0.4,0.5,0.1,62.0
0.2,0.4,0.4,62.0
0.1,0.4,0.5,60.0
0.1,0.5,0.4,60.0
0.2,0.6,0.2,60.0
0.2,0.5,0.3,60.0
0.2,0.7,0.1,60.0
0.3,0.6,0.1,60.0
0.1,0.6,0.3,58.0
0.1,0.7,0.2,58.0
